epoch,lr-Adam,lr-Adam-1,step,train/disc_loss,train/logits_fake,train/logits_real,val/aeloss,val/rec_loss,val/total_loss,val_ema/aeloss,val_ema/rec_loss,val_ema/total_loss
,4.5e-06,4.5e-06,0,,,,,,,,,
0,,,0,0.0,114.46702575683594,112.16734313964844,,,,,,
0,,,1,0.0,116.5339584350586,130.28680419921875,,,,,,
0,,,2,0.0,124.59752655029297,147.3061981201172,,,,,,
0,,,3,0.0,120.72956085205078,120.77890014648438,,,,,,
0,,,4,0.0,96.69534301757812,132.63955688476562,,,,,,
0,,,5,0.0,115.123046875,128.54051208496094,,,,,,
0,,,6,0.0,120.35919952392578,130.01930236816406,,,,,,
0,,,7,0.0,129.71954345703125,142.39637756347656,,,,,,
0,,,8,0.0,109.29936981201172,134.982421875,,,,,,
0,,,9,0.0,95.51801300048828,119.779296875,,,,,,
0,,,10,0.0,112.09333038330078,133.39309692382812,,,,,,
0,,,11,0.0,101.22309112548828,124.25008392333984,,,,,,
0,,,12,0.0,117.75366973876953,132.20367431640625,,,,,,
0,,,13,0.0,96.59888458251953,126.18067932128906,,,,,,
0,,,14,0.0,99.05638885498047,125.86253356933594,,,,,,
0,,,15,0.0,113.63176727294922,107.69730377197266,,,,,,
0,,,16,0.0,107.9819107055664,154.09255981445312,,,,,,
0,,,17,0.0,114.455322265625,132.34498596191406,,,,,,
0,,,18,0.0,122.48196411132812,145.87095642089844,,,,,,
0,,,19,0.0,117.0754623413086,101.07383728027344,,,,,,
0,,,20,0.0,115.16091918945312,130.64747619628906,,,,,,
0,,,21,0.0,115.16206359863281,111.43653106689453,,,,,,
0,,,22,0.0,111.09760284423828,133.94740295410156,,,,,,
0,,,23,0.0,109.66978454589844,130.80581665039062,,,,,,
0,,,24,0.0,106.44886779785156,73.28601837158203,,,,,,
0,,,25,0.0,125.21925354003906,112.51801300048828,,,,,,
0,,,26,0.0,119.0923080444336,125.86226654052734,,,,,,
0,,,27,0.0,124.27181243896484,121.81314086914062,,,,,,
0,,,28,0.0,112.7394790649414,136.81201171875,,,,,,
0,,,29,0.0,128.81362915039062,135.80088806152344,,,,,,
0,,,30,0.0,123.75450897216797,128.82342529296875,,,,,,
0,,,31,0.0,118.80520629882812,130.26002502441406,,,,,,
0,,,32,0.0,110.48673248291016,88.81614685058594,,,,,,
0,,,33,0.0,117.37686157226562,134.368896484375,,,,,,
0,,,34,0.0,115.36524200439453,148.372802734375,,,,,,
0,,,35,0.0,114.65924072265625,109.43815612792969,,,,,,
0,,,36,0.0,109.70063018798828,112.48758697509766,,,,,,
0,,,37,0.0,116.84561157226562,132.75918579101562,,,,,,
0,,,38,0.0,119.67723083496094,108.95764923095703,,,,,,
0,,,39,0.0,111.85770416259766,115.59114074707031,,,,,,
0,,,40,0.0,103.4217529296875,133.55345153808594,,,,,,
0,,,41,0.0,106.0298080444336,144.0201416015625,,,,,,
0,,,42,0.0,121.01158142089844,132.21588134765625,,,,,,
0,,,43,0.0,97.15414428710938,152.64129638671875,,,,,,
0,,,44,0.0,122.22409057617188,125.2289810180664,,,,,,
0,,,45,0.0,115.086669921875,127.4471664428711,,,,,,
0,,,46,0.0,126.19525909423828,136.0712127685547,,,,,,
0,,,47,0.0,103.60279846191406,130.45484924316406,,,,,,
0,,,48,0.0,108.78590393066406,134.4247283935547,,,,,,
0,,,49,0.0,118.40221405029297,130.77191162109375,,,,,,
