epoch,lr-Adam,lr-Adam-1,step,train/disc_loss,train/logits_fake,train/logits_real,val/aeloss,val/rec_loss,val_ema/aeloss,val_ema/rec_loss
,4.5e-06,4.5e-06,0,,,,,,,
0,,,0,0.0,109.32445526123047,137.71279907226562,,,,
0,,,1,0.0,123.99917602539062,131.54013061523438,,,,
0,,,2,0.0,128.95677185058594,146.4287567138672,,,,
0,,,3,0.0,115.93959045410156,113.3407974243164,,,,
0,,,4,0.0,108.78002166748047,136.36949157714844,,,,
0,,,5,0.0,97.8431396484375,110.4876708984375,,,,
0,,,6,0.0,117.30856323242188,130.00555419921875,,,,
0,,,7,0.0,116.78657531738281,109.75251007080078,,,,
0,,,8,0.0,120.24920654296875,125.20254516601562,,,,
0,,,9,0.0,108.60417938232422,106.44274139404297,,,,
0,,,10,0.0,125.92583465576172,139.22531127929688,,,,
0,,,11,0.0,115.01856994628906,135.08372497558594,,,,
0,,,12,0.0,104.11360931396484,118.79949951171875,,,,
0,,,13,0.0,95.33724212646484,89.00928497314453,,,,
0,,,14,0.0,115.29235076904297,134.8589630126953,,,,
0,,,15,0.0,123.128662109375,136.6551513671875,,,,
0,,,16,0.0,114.37984466552734,123.44786071777344,,,,
0,,,17,0.0,115.39440155029297,155.7334747314453,,,,
0,,,18,0.0,107.11251831054688,138.76077270507812,,,,
0,,,19,0.0,106.79252624511719,94.52023315429688,,,,
0,,,20,0.0,97.4710464477539,105.23123931884766,,,,
0,,,21,0.0,130.92474365234375,112.4236831665039,,,,
0,,,22,0.0,112.91207885742188,111.90892028808594,,,,
0,,,23,0.0,122.58690643310547,123.17316436767578,,,,
0,,,24,0.0,119.71244812011719,139.50392150878906,,,,
0,,,25,0.0,108.58904266357422,128.1168670654297,,,,
0,,,26,0.0,105.70543670654297,115.03563690185547,,,,
0,,,27,0.0,122.91404724121094,132.41456604003906,,,,
0,,,28,0.0,118.2771987915039,97.257080078125,,,,
0,,,29,0.0,130.74603271484375,143.55645751953125,,,,
0,,,30,0.0,115.37728118896484,142.4993133544922,,,,
0,,,31,0.0,129.55020141601562,140.2299041748047,,,,
0,,,32,0.0,111.33441162109375,102.89555358886719,,,,
0,,,33,0.0,128.6331787109375,138.958984375,,,,
0,,,34,0.0,105.19129180908203,106.0806655883789,,,,
0,,,35,0.0,111.67794799804688,124.41735076904297,,,,
0,,,36,0.0,122.3323745727539,126.47502899169922,,,,
0,,,37,0.0,125.61639404296875,132.3929443359375,,,,
0,,,38,0.0,111.03089904785156,106.45652770996094,,,,
0,,,39,0.0,116.50523376464844,121.37921905517578,,,,
0,,,40,0.0,102.38981628417969,128.0516357421875,,,,
0,,,41,0.0,110.83277893066406,137.7758331298828,,,,
0,,,42,0.0,116.80122375488281,123.54777526855469,,,,
0,,,43,0.0,119.53148651123047,132.1583251953125,,,,
0,,,44,0.0,101.8626480102539,91.14775848388672,,,,
0,,,45,0.0,107.7154769897461,142.7010955810547,,,,
0,,,46,0.0,107.68058776855469,140.91236877441406,,,,
0,,,47,0.0,119.2516098022461,137.98056030273438,,,,
0,,,48,0.0,126.44818115234375,127.74999237060547,,,,
0,,,49,0.0,122.8828125,115.76453399658203,,,,
0,,,50,0.0,121.08696746826172,119.8627700805664,,,,
0,,,51,0.0,123.64006805419922,122.59906005859375,,,,
0,,,52,0.0,119.59673309326172,91.17243194580078,,,,
