epoch,lr-Adam,lr-Adam-1,step,tran/train/disc_loss,tran/train/logits_fake,tran/train/logits_real
,4.5e-06,4.5e-06,0,,,
0,,,0,0.0,115.4903335571289,147.44882202148438
0,,,1,0.0,112.71239471435547,113.45552825927734
0,,,2,0.0,107.29230499267578,98.47836303710938
0,,,3,0.0,107.6615219116211,111.05870819091797
0,,,4,0.0,123.71881866455078,132.94097900390625
0,,,5,0.0,110.6978759765625,121.11753845214844
0,,,6,0.0,118.54483032226562,120.23822784423828
0,,,7,0.0,117.02620697021484,117.91351318359375
0,,,8,0.0,98.8514175415039,106.572509765625
0,,,9,0.0,114.23409271240234,132.28262329101562
0,,,10,0.0,117.33790588378906,96.78601837158203
0,,,11,0.0,120.5746078491211,143.3787841796875
0,,,12,0.0,98.36354064941406,148.88687133789062
0,,,13,0.0,107.8836441040039,113.08512115478516
0,,,14,0.0,107.92952728271484,123.36170959472656
0,,,15,0.0,123.37629699707031,134.1480712890625
0,,,16,0.0,114.12763977050781,109.5616455078125
0,,,17,0.0,119.63797760009766,127.87435150146484
0,,,18,0.0,127.9912109375,136.05105590820312
0,,,19,0.0,110.16948699951172,140.54481506347656
0,,,20,0.0,125.377685546875,121.89874267578125
0,,,21,0.0,118.3254623413086,104.07766723632812
0,,,22,0.0,112.88037109375,128.16329956054688
0,,,23,0.0,126.56969451904297,81.60401153564453
0,,,24,0.0,115.27606964111328,116.20309448242188
0,,,25,0.0,121.2249984741211,109.862548828125
0,,,26,0.0,113.7105484008789,138.09336853027344
0,,,27,0.0,117.49678802490234,135.4862823486328
0,,,28,0.0,113.26881408691406,104.74930572509766
0,,,29,0.0,123.38878631591797,121.23636627197266
0,,,30,0.0,119.23599243164062,131.12391662597656
0,,,31,0.0,125.07359313964844,124.67451477050781
0,,,32,0.0,119.72979736328125,137.76014709472656
0,,,33,0.0,115.13628387451172,135.87496948242188
0,,,34,0.0,111.36288452148438,128.0810546875
0,,,35,0.0,119.9913558959961,122.74368286132812
0,,,36,0.0,118.86661529541016,136.1563262939453
0,,,37,0.0,115.8799819946289,138.94187927246094
0,,,38,0.0,118.4837875366211,135.74951171875
0,,,39,0.0,130.28826904296875,130.97427368164062
0,,,40,0.0,101.64188385009766,105.2507553100586
0,,,41,0.0,125.9703140258789,132.6186065673828
0,,,42,0.0,106.1550521850586,124.78364562988281
0,,,43,0.0,120.99903869628906,128.8287811279297
0,,,44,0.0,115.41078186035156,142.943603515625
0,,,45,0.0,116.84904479980469,124.68077850341797
0,,,46,0.0,123.96815490722656,123.3588638305664
0,,,47,0.0,121.88164520263672,114.10255432128906
