epoch,lr-Adam,lr-Adam-1,step,train/{split}/disc_loss,train/{split}/logits_fake,train/{split}/logits_real
,4.5e-06,4.5e-06,0,,,
0,,,9,0.0,229.78903198242188,262.5858459472656
0,,,19,0.0,165.77352905273438,278.9566345214844
0,,,29,0.0,201.43032836914062,260.82513427734375
0,,,39,0.0,199.8179931640625,216.1380615234375
0,,,49,0.0,222.53208923339844,273.0899963378906
0,,,59,0.0,209.3740692138672,265.0482482910156
0,,,69,0.0,195.31838989257812,224.0758056640625
0,,,79,0.0,233.77886962890625,236.4600372314453
0,,,89,0.0,173.79852294921875,270.0451354980469
0,,,99,0.0,179.08297729492188,220.6482391357422
0,,,109,0.0,195.46005249023438,236.8094482421875
0,,,119,0.0,202.7213134765625,229.13404846191406
0,,,129,0.0,203.85633850097656,246.5784454345703
,4.5e-06,4.5e-06,132,,,
1,,,139,0.0,215.638671875,235.73826599121094
1,,,149,0.0,250.31045532226562,218.79104614257812
1,,,159,0.0,235.21975708007812,206.68592834472656
1,,,169,0.0,185.63003540039062,183.94212341308594
1,,,179,0.0,200.13893127441406,196.76824951171875
1,,,189,0.0,236.31832885742188,261.4891662597656
1,,,199,0.0,175.09913635253906,248.13365173339844
1,,,209,0.0,204.71609497070312,229.2689666748047
1,,,219,0.0,203.49288940429688,284.6000061035156
1,,,229,0.0,200.24667358398438,248.82354736328125
1,,,239,0.0,175.69883728027344,228.5711212158203
1,,,249,0.0,203.5585479736328,218.09291076660156
1,,,259,0.0,191.52392578125,285.7802734375
,4.5e-06,4.5e-06,264,,,
2,,,269,0.0,203.34326171875,276.845947265625
2,,,279,0.0,199.70657348632812,242.7140350341797
2,,,289,0.0,212.6511688232422,246.89434814453125
2,,,299,0.0,184.82217407226562,256.124267578125
2,,,309,0.0,208.72666931152344,200.6787872314453
2,,,319,0.0,183.74781799316406,251.3158721923828
2,,,329,0.0,202.83688354492188,235.37550354003906
2,,,339,0.0,253.09588623046875,271.6360168457031
2,,,349,0.0,196.16970825195312,234.35205078125
2,,,359,0.0,215.3515625,265.3118591308594
2,,,369,0.0,179.39907836914062,278.569091796875
2,,,379,0.0,219.53402709960938,233.69667053222656
2,,,389,0.0,213.91574096679688,255.0663299560547
,4.5e-06,4.5e-06,396,,,
3,,,399,0.0,193.2872314453125,252.508544921875
3,,,409,0.0,187.26170349121094,243.134765625
3,,,419,0.0,241.48497009277344,244.0812225341797
3,,,429,0.0,184.2355194091797,218.6121826171875
3,,,439,0.0,182.40708923339844,200.37583923339844
3,,,449,0.0,186.37696838378906,284.8805847167969
3,,,459,0.0,205.1713409423828,234.5850067138672
3,,,469,0.0,228.93968200683594,240.81275939941406
3,,,479,0.0,217.0573272705078,233.3040313720703
3,,,489,0.0,204.63330078125,246.3433074951172
3,,,499,0.0,175.36500549316406,229.09483337402344
3,,,509,0.0,246.6421661376953,269.8394470214844
3,,,519,0.0,229.8284454345703,287.8092346191406
,4.5e-06,4.5e-06,528,,,
4,,,529,0.0,209.88455200195312,231.29322814941406
4,,,539,0.0,239.75344848632812,259.9433288574219
4,,,549,0.0,229.02369689941406,241.8790283203125
4,,,559,0.0,198.98631286621094,236.35113525390625
4,,,569,0.0,257.8206787109375,248.43362426757812
4,,,579,0.0,214.2305145263672,247.36878967285156
4,,,589,0.0,197.7615966796875,195.84461975097656
4,,,599,0.0,230.31295776367188,247.18516540527344
4,,,609,0.0,233.3629150390625,244.22445678710938
4,,,619,0.0,221.34226989746094,247.0601043701172
4,,,629,0.0,202.5968780517578,264.5480041503906
4,,,639,0.0,203.7657012939453,246.90347290039062
4,,,649,0.0,194.58274841308594,188.9160614013672
4,,,659,0.0,229.26705932617188,267.2859191894531
,4.5e-06,4.5e-06,660,,,
5,,,669,0.0,193.51449584960938,229.37745666503906
5,,,679,0.0,188.5406494140625,223.87965393066406
5,,,689,0.0,226.75125122070312,236.87164306640625
5,,,699,0.0,210.64451599121094,251.43130493164062
5,,,709,0.0,216.47955322265625,265.9971618652344
5,,,719,0.0,190.86932373046875,235.57725524902344
5,,,729,0.0,167.6316375732422,212.02061462402344
5,,,739,0.0,198.20883178710938,237.25714111328125
5,,,749,0.0,192.39529418945312,216.7239532470703
5,,,759,0.0,229.08917236328125,221.00718688964844
5,,,769,0.0,186.4291534423828,265.3661804199219
5,,,779,0.0,189.0062255859375,245.67532348632812
5,,,789,0.0,211.14988708496094,225.07652282714844
,4.5e-06,4.5e-06,792,,,
6,,,799,0.0,180.39215087890625,217.57614135742188
6,,,809,0.0,199.977294921875,251.06195068359375
6,,,819,0.0,203.45947265625,250.66041564941406
6,,,829,0.0,216.2306671142578,235.2433319091797
6,,,839,0.0,187.15328979492188,273.23272705078125
6,,,849,0.0,206.65907287597656,256.20196533203125
6,,,859,0.0,189.36634826660156,245.60476684570312
6,,,869,0.0,226.9664764404297,179.7347412109375
6,,,879,0.0,205.1659393310547,223.55613708496094
6,,,889,0.0,161.92941284179688,231.4503631591797
6,,,899,0.0,211.4668731689453,210.24502563476562
6,,,909,0.0,159.20802307128906,172.78504943847656
6,,,919,0.0,178.53469848632812,243.59039306640625
,4.5e-06,4.5e-06,924,,,
7,,,929,0.0,163.72645568847656,235.70802307128906
7,,,939,0.0,221.0207977294922,235.02366638183594
7,,,949,0.0,192.595947265625,238.27574157714844
7,,,959,0.0,202.95965576171875,285.6143493652344
7,,,969,0.0,202.49514770507812,206.73643493652344
7,,,979,0.0,200.24697875976562,228.71408081054688
7,,,989,0.0,235.53750610351562,239.65902709960938
7,,,999,0.0,220.80694580078125,263.45709228515625
7,,,1009,0.0,188.46771240234375,244.524658203125
7,,,1019,0.0,211.54397583007812,242.12916564941406
7,,,1029,0.0,207.01429748535156,242.68321228027344
7,,,1039,0.0,200.04588317871094,236.5844268798828
7,,,1049,0.0,207.33108520507812,231.3792266845703
,4.5e-06,4.5e-06,1056,,,
8,,,1059,0.0,161.6697235107422,233.0220184326172
8,,,1069,0.0,193.11842346191406,178.285888671875
8,,,1079,0.0,186.18063354492188,228.0679931640625
8,,,1089,0.0,210.61851501464844,187.6706085205078
8,,,1099,0.0,186.5795135498047,216.53224182128906
8,,,1109,0.0,196.69631958007812,265.86181640625
8,,,1119,0.0,192.5235137939453,223.2066192626953
8,,,1129,0.0,166.09519958496094,201.3201141357422
8,,,1139,0.0,183.39158630371094,241.54885864257812
8,,,1149,0.0,222.2902069091797,270.5631103515625
8,,,1159,0.0,187.6112823486328,196.31396484375
8,,,1169,0.0,199.32972717285156,262.3248596191406
8,,,1179,0.0,181.5994873046875,250.5461883544922
,4.5e-06,4.5e-06,1188,,,
9,,,1189,0.0,188.58468627929688,246.1044921875
9,,,1199,0.0,190.4185791015625,217.1072998046875
9,,,1209,0.0,202.47579956054688,231.74281311035156
9,,,1219,0.0,207.12451171875,266.8762512207031
9,,,1229,0.0,192.814697265625,205.35594177246094
9,,,1239,0.0,222.39788818359375,252.59521484375
9,,,1249,0.0,183.14865112304688,209.2853240966797
9,,,1259,0.0,194.297607421875,246.28262329101562
9,,,1269,0.0,199.71490478515625,274.64215087890625
9,,,1279,0.0,178.2619171142578,217.0913543701172
9,,,1289,0.0,223.07595825195312,222.36871337890625
9,,,1299,0.0,210.6948699951172,276.1091613769531
9,,,1309,0.0,202.0493927001953,234.92437744140625
9,,,1319,0.0,230.87123107910156,247.5507354736328
