epoch,lr-Adam,lr-Adam-1,step,train/disc_loss,train/logits_fake,train/logits_real
,4.5e-06,4.5e-06,0,,,
0,,,0,0.0,106.60926818847656,101.01289367675781
0,,,1,0.0,111.59708404541016,119.99739837646484
0,,,2,0.0,101.20597839355469,137.4902801513672
0,,,3,0.0,115.17736053466797,121.00425720214844
0,,,4,0.0,121.5180892944336,127.55240631103516
0,,,5,0.0,125.73455810546875,128.41241455078125
0,,,6,0.0,118.72584533691406,121.22543334960938
0,,,7,0.0,101.35599517822266,94.12700653076172
0,,,8,0.0,108.97298431396484,126.48762512207031
0,,,9,0.0,123.95652770996094,138.8726043701172
0,,,10,0.0,125.62889099121094,138.13580322265625
0,,,11,0.0,117.04840087890625,104.064208984375
0,,,12,0.0,109.228271484375,95.7943115234375
0,,,13,0.0,112.66426086425781,121.4574203491211
0,,,14,0.0,127.3413314819336,126.78104400634766
0,,,15,0.0,100.85479736328125,120.92161560058594
0,,,16,0.0,107.81980895996094,112.3264389038086
0,,,17,0.0,115.0446548461914,125.9636001586914
0,,,18,0.0,116.92459869384766,134.43325805664062
0,,,19,0.0,113.59703826904297,105.96443176269531
0,,,20,0.0,112.61664581298828,112.72200775146484
0,,,21,0.0,102.12899017333984,142.80885314941406
0,,,22,0.0,124.0054702758789,141.71200561523438
0,,,23,0.0,113.52042388916016,99.95429229736328
0,,,24,0.0,113.66275024414062,143.45545959472656
0,,,25,0.0,132.100341796875,121.35762786865234
0,,,26,0.0,102.40219116210938,123.3841781616211
0,,,27,0.0,116.86825561523438,138.41075134277344
0,,,28,0.0,120.72509002685547,125.7930679321289
0,,,29,0.0,117.13417053222656,115.86392974853516
0,,,30,0.0,112.91971588134766,141.2589569091797
0,,,31,0.0,114.95606231689453,134.22225952148438
0,,,32,0.0,112.86447143554688,119.95092010498047
0,,,33,0.0,125.93860626220703,118.29496002197266
0,,,34,0.0,112.7752914428711,134.61534118652344
0,,,35,0.0,106.20972442626953,108.0537109375
0,,,36,0.0,120.4211196899414,141.25799560546875
0,,,37,0.0,112.99838256835938,116.88753509521484
0,,,38,0.0,103.1476058959961,119.40969848632812
0,,,39,0.0,124.07470703125,86.7826919555664
0,,,40,0.0,108.05878448486328,128.71559143066406
0,,,41,0.0,119.31914520263672,131.3564453125
0,,,42,0.0,125.13639831542969,137.8057861328125
0,,,43,0.0,119.95304870605469,130.6525115966797
0,,,44,0.0,123.22816467285156,114.77044677734375
0,,,45,0.0,105.3026123046875,126.28466033935547
0,,,46,0.0,127.27484130859375,129.0144805908203
0,,,47,0.0,117.52767181396484,122.71862030029297
0,,,48,0.0,103.56871795654297,132.0688934326172
0,,,49,0.0,119.42822265625,124.34902954101562
0,,,50,0.0,124.2475357055664,133.42584228515625
0,,,51,0.0,104.24540710449219,100.68474578857422
0,,,52,0.0,117.87882995605469,117.72012329101562
0,,,53,0.0,125.43749237060547,133.64584350585938
0,,,54,0.0,103.4708480834961,137.95465087890625
0,,,55,0.0,105.38375091552734,118.51519012451172
0,,,56,0.0,129.85008239746094,136.51722717285156
0,,,57,0.0,115.48275756835938,132.51832580566406
0,,,58,0.0,122.52916717529297,133.88845825195312
0,,,59,0.0,125.98622131347656,128.3564910888672
0,,,60,0.0,116.00080871582031,130.94027709960938
0,,,61,0.0,102.21791076660156,117.0554428100586
0,,,62,0.0,125.53395080566406,141.67628479003906
0,,,63,0.0,109.72927856445312,130.43296813964844
0,,,64,0.0,112.46541595458984,103.42859649658203
0,,,65,0.0,102.59065246582031,130.53993225097656
0,,,66,0.0,113.29680633544922,118.53718566894531
0,,,67,0.0,116.35073852539062,119.87105560302734
0,,,68,0.0,103.0587158203125,135.5340118408203
0,,,69,0.0,126.82221221923828,127.82554626464844
0,,,70,0.0,123.36235809326172,136.56573486328125
0,,,71,0.0,123.84273529052734,111.01454162597656
0,,,72,0.0,121.15020751953125,125.26754760742188
0,,,73,0.0,113.88372039794922,138.03707885742188
0,,,74,0.0,114.44857788085938,132.1009063720703
0,,,75,0.0,109.29771423339844,122.82373809814453
0,,,76,0.0,113.09095764160156,132.2028350830078
0,,,77,0.0,102.98252868652344,115.43085479736328
0,,,78,0.0,115.64435577392578,137.9725341796875
0,,,79,0.0,119.31714630126953,122.9131851196289
0,,,80,0.0,109.5698471069336,123.025146484375
0,,,81,0.0,129.85267639160156,139.64903259277344
0,,,82,0.0,106.95455932617188,128.1110382080078
0,,,83,0.0,113.78107452392578,131.48330688476562
0,,,84,0.0,112.55506896972656,112.09456634521484
0,,,85,0.0,122.56341552734375,120.45650482177734
0,,,86,0.0,115.53831481933594,121.2828369140625
0,,,87,0.0,113.11698913574219,127.16682434082031
0,,,88,0.0,109.30481719970703,107.8396224975586
0,,,89,0.0,110.28132629394531,136.49978637695312
