epoch,lr-Adam,lr-Adam-1,step,train/{split}/disc_loss,train/{split}/logits_fake,train/{split}/logits_real
,4.5e-06,4.5e-06,0,,,
0,,,9,0.0,215.36892700195312,286.25048828125
0,,,19,0.0,192.10507202148438,259.18084716796875
0,,,29,0.0,189.3101806640625,207.3932342529297
0,,,39,0.0,167.83538818359375,242.27613830566406
0,,,49,0.0,217.95989990234375,233.3964080810547
0,,,59,0.0,235.80172729492188,248.0011444091797
0,,,69,0.0,174.58966064453125,230.1901397705078
0,,,79,0.0,211.62750244140625,246.23007202148438
0,,,89,0.0,215.54608154296875,271.1249694824219
0,,,99,0.0,164.23233032226562,198.97412109375
0,,,109,0.0,202.37222290039062,199.2693634033203
0,,,119,0.0,192.88043212890625,198.4515380859375
0,,,129,0.0,235.49375915527344,238.7928009033203
,4.5e-06,4.5e-06,132,,,
1,,,139,0.0,231.05807495117188,254.37216186523438
1,,,149,0.0,226.00234985351562,255.5324249267578
1,,,159,0.0,197.97052001953125,240.16680908203125
1,,,169,0.0,190.0933074951172,224.45143127441406
1,,,179,0.0,198.5862579345703,235.27854919433594
1,,,189,0.0,228.39093017578125,205.57757568359375
1,,,199,0.0,213.22503662109375,269.5902404785156
1,,,209,0.0,225.6605987548828,189.6175079345703
1,,,219,0.0,200.62014770507812,225.5826416015625
1,,,229,0.0,219.7559051513672,217.0932159423828
1,,,239,0.0,207.7026824951172,243.9038848876953
1,,,249,0.0,182.73052978515625,192.74716186523438
1,,,259,0.0,228.84375,207.39132690429688
,4.5e-06,4.5e-06,264,,,
2,,,269,0.0,219.81344604492188,210.045166015625
2,,,279,0.0,224.34832763671875,224.00184631347656
2,,,289,0.0,199.13340759277344,249.25244140625
2,,,299,0.0,232.2825469970703,264.3636779785156
2,,,309,0.0,219.8151092529297,238.41574096679688
2,,,319,0.0,184.03965759277344,261.22998046875
2,,,329,0.0,219.38844299316406,241.4740447998047
2,,,339,0.0,204.1321563720703,207.644775390625
2,,,349,0.0,215.1379852294922,255.35240173339844
2,,,359,0.0,199.3784637451172,244.60618591308594
2,,,369,0.0,229.56199645996094,230.55386352539062
2,,,379,0.0,178.7147674560547,231.9784393310547
2,,,389,0.0,185.3509063720703,260.4761962890625
,4.5e-06,4.5e-06,396,,,
3,,,399,0.0,222.58465576171875,260.7127380371094
3,,,409,0.0,228.35308837890625,245.451171875
3,,,419,0.0,200.7701416015625,233.82791137695312
