epoch,lr-Adam,lr-Adam-1,step,train/{split}/disc_loss,train/{split}/logits_fake,train/{split}/logits_real
,4.5e-06,4.5e-06,0,,,
0,,,0,0.0,264.4405517578125,194.6704864501953
0,,,1,0.0,242.76036071777344,271.14581298828125
0,,,2,0.0,264.059326171875,248.73191833496094
0,,,3,0.0,262.8295593261719,242.14979553222656
0,,,4,0.0,270.9705505371094,173.7974853515625
0,,,5,0.0,233.8098602294922,245.22048950195312
0,,,6,0.0,243.0101776123047,240.98020935058594
0,,,7,0.0,269.4620666503906,236.91807556152344
0,,,8,0.0,251.7906036376953,282.5235290527344
0,,,9,0.0,256.6572265625,226.7301025390625
0,,,10,0.0,247.9551239013672,268.6397705078125
0,,,11,0.0,276.59844970703125,212.82492065429688
0,,,12,0.0,262.8305969238281,241.8563995361328
0,,,13,0.0,262.3191833496094,264.3368225097656
0,,,14,0.0,257.4203796386719,223.6917724609375
0,,,15,0.0,244.13726806640625,218.3895263671875
0,,,16,0.0,262.36358642578125,205.20046997070312
0,,,17,0.0,239.4309844970703,248.4569091796875
0,,,18,0.0,245.70632934570312,252.51101684570312
0,,,19,0.0,207.10122680664062,263.1712646484375
0,,,20,0.0,271.29510498046875,224.37120056152344
